30001794	KABR	ABERDEEN	SD	45	27	21	-98	24	48	421
30001795	KABX	ALBUQUERQUE	NM	35	8	59	-106	49	26	1813
30001796	KAKQ	NORFOLK_RICH	VA	36	59	3	-77	0	26	77
30001797	KAMA	AMARILLO	TX	35	13	60	-101	42	33	1128
30001798	KAMX	MIAMI	FL	25	36	40	-80	24	46	33
30001799	KAPX	GAYLORD	MI	44	54	23	-84	43	10	475
30001800	KARX	LA_CROSSE	WI	43	49	22	-91	11	28	413
30001801	KATX	SEATTLE	WA	48	11	41	-122	29	44	195
30001802	KBBX	BEALE_AFB	CA	39	29	44	-121	37	54	67
30001807	KBGM	BINGHAMTON	NY	42	11	59	-75	59	5	519
30001808	KBHX	EUREKA	CA	40	29	55	-124	17	32	766
30001809	KBIS	BISMARCK	ND	46	46	15	-100	45	38	534
30001811	KBLX	BILLINGS	MT	45	51	14	-108	36	24	1128
30001812	KBMX	BIRMINGHAM	AL	33	10	21	-86	46	13	231
30001813	KBOX	BOSTON	MA	41	57	21	-71	8	13	70
30001814	KBRO	BROWNSVILLE	TX	25	54	58	-97	25	8	26
30001815	KBUF	BUFFALO	NY	42	56	56	-78	44	12	240
30001816	KBYX	KEY_WEST	FL	24	35	51	-81	42	11	27
30001781	KCAE	COLUMBIA	SC	33	56	55	-81	7	6	105
30001782	KCBW	HOULTON	ME	46	2	21	-67	48	23	262
30001817	KCBX	BOISE	ID	43	29	25	-116	14	10	966
30001783	KCCX	STATE_COLLEGE	PA	40	55	23	-78	0	13	757
30001818	KCLE	CLEVELAND	OH	41	24	48	-81	51	36	262
30001819	KCLX	CHARLESTON	SC	32	39	20	-81	2	32	69
30078819	KCRI	ROC_FAA_REDUNDA	OK	35	14	18	-97	27	36	400
30001821	KCRP	CORPUS_CHRISTI	TX	27	47	2	-97	30	41	43
30001822	KCXX	BURLINGTON	VT	44	30	40	-73	9	59	131
30001823	KCYS	CHEYENNE	WY	41	9	7	-104	48	22	1887
30001824	KDAX	SACRAMENTO	CA	38	30	4	-121	40	40	43
30001825	KDDC	DODGE_CITY	KS	37	45	39	-99	58	8	814
30001826	KDFX	LAUGHLIN_AFB	TX	29	16	23	-100	16	49	364
30001827	KDGX	JACKSON_BRANDON	MS	32	16	48	-89	59	4	185
30001828	KDIX	PHILADELPHIA	NJ	39	56	50	-74	24	39	70
30001829	KDLH	DULUTH	MN	46	50	13	-92	12	35	470
30001830	KDMX	DES_MOINES	IA	41	43	52	-93	43	22	333
30001831	KDOX	DOVER_AFB	DE	38	49	33	-75	26	24	49
30001832	KDTX	DETROIT	MI	42	42	0	-83	28	18	370
30001833	KDVN	DAVENPORT	IA	41	36	42	-90	34	51	259
30001834	KDYX	DYESS_AFB	TX	32	32	19	-99	15	16	482
30001835	KEAX	KANSAS_CITY	MO	38	48	37	-94	15	52	332
30001836	KEMX	TUCSON	AZ	31	53	37	-110	37	49	1621
30001837	KENX	ALBANY	NY	42	35	12	-74	3	51	589
30001838	KEOX	FORT_RUCKER	AL	31	27	38	-85	27	34	163
30001839	KEPZ	EL_PASO	NM	31	52	23	-106	41	53	1285
30001841	KESX	LAS_VEGAS	NV	35	42	5	-114	53	30	1508
30001842	KEVX	EGLIN_AFB	FL	30	33	54	-85	55	18	67
30001843	KEWX	AUSTIN_SAN_ANTO	TX	29	42	15	-98	1	43	233
30001943	KEYX	EDWARDS	CA	35	5	52	-117	33	39	875
30001844	KFCX	ROANOKE	VA	37	1	28	-80	16	26	903
30001845	KFDR	ALTUS_AFB	OK	34	21	44	-98	58	36	400
30001846	KFDX	CANNON_AFB	NM	34	38	3	-103	37	8	1431
30001847	KFFC	ATLANTA	GA	33	21	49	-84	33	57	296
30001944	KFSD	SIOUX_FALLS	SD	43	35	16	-96	43	46	455
30001848	KFSX	FLAGSTAFF	AZ	34	34	28	-111	11	54	2290
30001849	KFTG	DENVER_FRONT_RA	CO	39	47	12	-104	32	45	1710
30001850	KFWS	DALLAS	TX	32	34	23	-97	18	11	236
30001851	KGGW	GLASGOW	MT	48	12	23	-106	37	29	726
30001852	KGJX	GRAND_JUNCTION	CO	39	3	44	-108	12	50	3078
